station_id,time,min_value,max_value,mean_value,perc_of_norm,lat,lng
100,2019-04-01,7,54,27,54,50.254738,19.091616
100,2019-04-02,19,62,35,70,50.254738,19.091616
100,2019-04-03,34,92,56,112,50.254738,19.091616
100,2019-04-04,27,74,53,106,50.254738,19.091616
100,2019-04-05,18,81,54,108,50.254738,19.091616
100,2019-04-06,54,150,74,148,50.254738,19.091616
100,2019-04-07,50,100,74,148,50.254738,19.091616
100,2019-04-08,38,136,78,156,50.254738,19.091616
100,2019-04-09,49,104,70,140,50.254738,19.091616
100,2019-04-10,34,69,49,98,50.254738,19.091616
100,2019-04-11,37,68,51,102,50.254738,19.091616
100,2019-04-12,32,95,54,108,50.254738,19.091616
100,2019-04-13,60,121,83,166,50.254738,19.091616
100,2019-04-14,28,102,52,104,50.254738,19.091616
100,2019-04-15,23,116,52,104,50.254738,19.091616
100,2019-04-16,15,87,47,94,50.254738,19.091616
100,2019-04-17,21,98,44,88,50.254738,19.091616
100,2019-04-18,16,182,70,140,50.254738,19.091616
100,2019-04-19,11,119,53,106,50.254738,19.091616
100,2019-04-20,8,101,45,90,50.254738,19.091616
100,2019-04-21,4,65,35,70,50.254738,19.091616
100,2019-04-22,16,71,40,80,50.254738,19.091616
100,2019-04-23,18,54,30,60,50.254738,19.091616
100,2019-04-26,5,39,18,36,50.254738,19.091616
100,2019-04-27,10,48,27,54,50.254738,19.091616
100,2019-04-28,33,65,49,98,50.254738,19.091616
100,2019-04-29,17,74,38,76,50.254738,19.091616
100,2019-04-30,25,91,42,84,50.254738,19.091616
